17776	17778
5578	9770
5578	929
5578	9982
1835	6278
1835	1664
1835	1791
1835	6435
1835	10037
1835	10697
1835	11486
1835	1931
1835	1682
1835	1715
1835	1644
1835	1628
1835	1950
1835	1643
1835	6235
1835	131
1835	1741
1835	6213
1835	141
1835	1920
1835	127
1835	1742
1835	1596
1835	1976
1835	1816
1835	1744
1835	1719
1835	11787
1835	3666
1835	1699
1835	6233
1835	1762
1835	1614
1835	1637
1835	1578
1835	1572
1835	1661
1835	1591
1835	1702
1835	1556
1835	1851
1835	1831
1835	11481
1835	162
1835	1785
1835	1995
14790	328
8606	11088
8606	4077
8606	3689
8606	614
8606	4043
8606	5548
8606	14108
8606	1534
12376	7786
12376	3031
13981	4006
13981	538
13981	4073
13981	1262
13981	8827
13981	8036
13981	3587
17378	17480
17378	16106
14371	7156
14371	15570
14371	13009
14371	7195
14371	15772
14371	2819
14371	7212
14371	14874
14371	7776
14371	441
14371	7213
14371	13619
9504	1131
9504	14667
9504	14651
9504	9150
9504	8074
5072	5058
5072	5062
5072	5051
5072	5050
5072	1129
5072	5047
5072	5077
5072	5060
5072	5056
5072	5052
5072	5066
5072	15171
5072	5049
5072	5044
1523	11767
1523	4517
1523	11772
1523	10192
1523	10231
1523	12800
1523	8026
1523	4522
1523	10205
1523	9606
3382	3360
3382	490
3382	3311
2300	1987
2300	2316
2300	184
2300	12970
2300	13006
2300	166
2300	1728
2300	1950
2300	12458
2300	3067
2300	6318
2300	164
2300	6249
2300	2304
2300	1898
2300	1626
2300	1637
2300	7547
2300	2297
2300	1676
2300	3679
2300	2320
2300	1565
2300	2313
2300	199
2300	163
2300	173
2300	2331
2300	2273
2300	2323
2300	162
402	15067
402	1153
402	2607
3423	10579
3423	17779
3423	11307
3423	5678
3423	4317
3423	3884
3423	701
3423	6963
3423	12633
3423	8699
3423	3533
3423	5745
3423	4279
3423	6691
3423	13403
3423	10644
3423	3310
3423	2018
3423	396
11385	7081
11385	11383
11385	2719
11385	11384
11385	2132
11385	11040
11385	11238
11385	11306
11385	5643
6198	1688
6198	1950
2235	9677
2235	5144
2235	8953
2235	9521
2235	4561
2235	12883
2235	9657
2235	285
2235	9658
2235	9663
2235	974
2235	5147
2235	5096
2235	9536
2235	2227
2235	9671
2235	1261
2235	10346
2235	9665
2235	2238
2235	9661
2235	9662
2235	5111
2235	12888
2235	12132
2235	13669
2235	52
2235	9691
2235	990
2235	13462
2235	5119
11494	1662
11494	10033
11494	1835
11494	6247
11494	11486
11494	1680
11494	1639
11494	1711
11494	11481
11494	3665
11494	1995
11494	1718
11494	208
11494	11492
3409	3405
3409	2076
3409	3223
3409	8625
8675	11076
8181	1324
8181	1325
8181	1291
8181	1343
8181	1385
8181	8159
8181	1342
8181	2447
8181	8267
8181	2391
8181	2388
8181	1393
8181	8225
8181	8190
8181	2408
8181	8157
8181	6184
8181	6703
8181	9633
8181	2446
8181	1421
8181	8213
14890	12516
14890	7538
14890	11782
14890	1869
4243	6953
4243	3519
4243	1231
4243	3191
4243	8768
4243	5729
4243	12236
4243	10652
4243	3262
4243	7765
4243	3351
4243	7486
4243	3615
4243	5758
4243	3643
4243	9425
4243	5686
4243	751
4243	547
8193	2386
8193	8223
8193	8199
8193	1330
8193	6054
15647	6474
15647	15645
15647	14791
15647	15646
15647	11123
15647	10951
15647	6472
15647	7964
15647	15649
15647	8324
15647	14814
15647	15652
15647	15648
15647	10367
15647	3319
15647	11417
15647	9517
15647	15656
15647	9000
15647	4018
930	7088
930	862
930	896
930	7912
930	7901
930	9718
930	7838
930	7849
930	11254
930	834
930	7095
930	9759
930	920
930	805
930	7083
930	7959
930	929
930	866
930	9982
930	8545
930	10405
930	886
930	8165
930	9709
930	9981
930	8543
16323	12035
16323	4338
16323	570
16323	3292
8351	1215
8351	8457
8351	1212
8351	4992
13502	5833
13502	13425
29	15300
29	16701
29	35
29	11
29	16571
29	27
29	14
29	15298
29	15294
29	9
29	25
29	17
29	16693
10707	1920
10707	162
10707	1716
10707	1688
10707	10697
15871	12891
15871	1023
15871	1017
14343	8040
14343	10743
1732	6410
1732	150
1732	1722
1732	153
1732	11480
